ID_Product,Quantity,Quantity_Fourniss_After_Cumule
153120,4,4
153130,0,0
1533G,0,0
153430,2,2
153520,4,4
153540,1,1
153590,0,0
153620,13,13
153640,2,2
153720,6,6
15373,14,14
15374,15,15
15375,5,5
15376,8,8
15399,3,3
15475,7,7
15476,3,3
15590,25,25
1559G,1,1
1567G,0,0
1573G,0,0
1578G,0,0
1584G,0,0
160073,0,0
160074,4,4
160075,1,1
160076,1,1
160078,1,1
160079,4,4
160080,1,1
160081,2,2
160099,12,12
16009900,2,2
16051,3,3
16052,2,2
16053,5,5
16054,1,1
16055,1,1
16056,1,1
16057,2,2
160575,2,2
16058,0,0
160681,0,0
161076,2,2
161370,10,10
161678,1,1
162065,1,1
162072,1,1
162073,1,1
162074,1,1
162076,1,1
162099,5,5
165076,1,1
168099,0,0
17007,1,1
1706D1FR,54,54
17075,0,0
1707D025FR,42,42
17090KIT,4,4
171083,1,1
171084,1,1
171771,1,1
17184,1,1
1719900,2,2
17203,1,1
1722591,10,10
17251,2,2
17252,0,0
17253,0,0
17254,1,1
17271,16,16
17272,10,10
17273,6,6
17274,3,3
17275,4,4
17276,12,12
17277,3,3
17278,9,9
17279,2,2
17280,1,1
17298,0,0
17299,3,3
1729900,3,3
1732590,32,32
1732591,16,16
1732592,3,3
1732593,19,19
1732594,5,5
17373,7,7
17374,7,7
17375,12,12
17376,11,11
17377,7,7
17378,7,7
17399,3,3
1740G,10,10
17475,1,1
175075,0,0
17551,1,1
17552,1,1
176073,9,9
176074,7,7
176077,10,10
176078,8,8
176099,2,2
177075,5,5
