ID_Product;Quantity;Quantity_Fourniss_After_Cumule;Quantites
NTY AMORTISSEUR AVANT;5902048340405;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340412;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340429;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340436;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048340443;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048340450;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048340467;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340474;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340481;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340498;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048340504;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340511;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340528;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340535;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340542;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340559;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340566;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340573;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340580;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340597;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340603;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340610;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340627;2868407966829846;2868407966829846
NTY AMORTISSEUR ARRIERE;5902048340634;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340641;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340658;4090138207437312;4090138207437312
NTY AMORTISSEUR ARRIERE;5902048340665;2868407966829846;2868407966829846
NTY AMORTISSEUR AVANT;5902048340672;4090138207437312;4090138207437312
NTY AMORTISSEUR AVANT;5902048340689;4090138207437312;4090138207437312
