ID_Product,Quantity,Quantity_Fourniss_After_Cumule,on_depot
ARE0191S,10,10,10
ARE0192BOSCH,10,10,10
ARE0193S,10,10,10
ARE0194P,10,10,10
ARE0194S,10,10,10
ARE0195BOSCH,10,10,10
ARE0195SEG,10,10,10
ARE0195P,10,10,10
ARE0195S,10,10,10
ARE0196BOSCH,10,10,10
ARE0196SEG,10,10,10
ARE0196P,10,10,10
ARE0197BOSCH,10,10,10
ARE0198BOSCH,10,10,10
ARE0198P,10,10,10
ARE0198S,10,10,10
ARE0199BOSCH,10,10,10
ARE0199SEG,8,8,8
ARE0199P,10,10,10
ARE0199S,10,10,10
ARE0200BOSCH,10,10,10
ARE0200SEG,10,10,10
ARE0200P,10,10,10
ARE0200S,10,10,10
ARE0201BOSCH,5,5,5
ARE0201SEG,10,10,10
ARE0201P,3,3,3
ARE0202BOSCH,10,10,10
ARE0203BOSCH,5,5,5
ARE0204P,5,5,5
ARC3115,10,10,10
ARC3116,10,10,10
ARC3117,10,10,10
ARC3118,10,10,10
ARC3119,10,10,10
ARC3120,10,10,10
ARC3121,0,0,0
ARC3122,10,10,10
ARC3123,0,0,0
ARC3124,10,10,10
ARC3126,10,10,10
ARC3127,10,10,10
ARC3128,10,10,10
ARC3129,2,2,2
ARC3130,10,10,10
ARC3131,10,10,10
ARC5036,10,10,10
ARC5037,10,10,10
ARC5038,10,10,10
